Year,Week,Sampling Period,Site,Block,Host Plant,Branch ID,Ant Treatment,Leaf Count,Single Leaf Area,Branch Leaf Area,Total Caterpillars,Cumulative Cat Count,Total Ants,Total Saps,S1+S2 Sap Presence,Sap Presence,0% leaf dmg,1-20% leaf dmg,20-40% leaf dmg,40-60% leaf dmg,60-80% leaf dmg,80-100% leaf dmg,Leaf Area Lost,Number of Damaged Leaves
2012,3,S1,C,6,BE,CBE6B,control,120,33.5,0.402,1,,0,0,,0,14,96,4,5,1,0,0.0402,
2012,3,S1,C,6,BE,CBE6C,tanglefoot,102,33.5,0.3417,0,,1,0,,0,28,74,0,1,0,0,0.033165,
2012,3,S1,C,6,BE,CBE6D,control,176,33.5,0.5896,0,,1,0,,0,50,114,5,5,2,0,0.047905,
2012,1,S1,C,1,BI,CBI1A,tanglefoot,96,21.147,0.2030112,0,,0,0,,0,41,52,3,0,0,0,0.01289967,
2012,1,S1,C,1,BI,CBI1B,control,124,21.147,0.2622228,0,,0,0,,0,90,31,3,0,0,0,0.0105735,
2012,1,S1,C,1,BI,CBI1C,tanglefoot,143,21.147,0.3024021,3,,1,0,,0,80,60,0,2,0,1,0.01459143,
2012,1,S1,C,1,BI,CBI1D,control,100,21.147,0.21147,2,,1,0,,0,57,41,2,0,0,0,0.01945524,
2012,1,S1,C,2,BI,CBI2A,tanglefoot,373,21.147,0.7887831,2,,0,0,,0,173,183,4,9,1,3,0.05054133,
2012,1,S1,C,2,BI,CBI2B,control,340,21.147,0.718998,1,,2,0,,0,217,118,1,2,2,0,0.02854845,
2012,1,S1,C,2,BI,CBI2C,tanglefoot,174,21.147,0.3679578,2,,0,0,,0,139,33,0,0,2,0,0.01734054,
2012,1,S1,C,2,BI,CBI2D,control,291,21.147,0.6153777,0,,2,0,,0,196,81,4,7,3,0,0.02516493,
2012,2,S1,C,3,BI,CBI3A,tanglefoot,101,21.147,0.2135847,0,,0,0,,0,51,45,4,1,0,0,0.01205379,
2012,2,S1,C,3,BI,CBI3B,control,129,21.147,0.2727963,0,,0,0,,0,59,53,17,0,0,0,0.02727963,
2012,2,S1,C,3,BI,CBI3C,tanglefoot,233,21.147,0.4927251,0,,0,0,,0,71,133,24,5,0,0,0.0486381,
2012,2,S1,C,3,BI,CBI3D,control,140,21.147,0.296058,1,,1,0,,0,99,33,2,5,1,0,0.02030112,
2012,2,S1,C,4,BI,CBI4A,tanglefoot,313,21.147,0.6619011,1,,0,0,,0,63,224,13,10,2,1,0.06470982,
2012,2,S1,C,4,BI,CBI4B,control,198,21.147,0.4187106,0,,1,0,,0,27,121,17,4,14,15,0.08987475,
2012,2,S1,C,4,BI,CBI4C,tanglefoot,77,21.147,0.1628319,0,,0,0,,0,26,40,4,4,3,0,0.02283876,
2012,2,S1,C,4,BI,CBI4D,control,130,21.147,0.274911,0,,0,0,,0,40,73,7,7,1,2,0.02727963,
2012,3,S1,C,5,BI,CBI5A,tanglefoot,170,21.147,0.359499,0,,0,0,,0,33,117,4,2,9,5,0.05329044,
2012,3,S1,C,5,BI,CBI5B,control,80,21.147,0.169176,0,,2,0,,0,60,17,0,3,0,0,0.00676704,
2012,3,S1,C,5,BI,CBI5C,tanglefoot,159,21.147,0.3362373,0,,0,0,,0,119,33,4,3,0,0,0.00951615,
2012,3,S1,C,5,BI,CBI5D,control,66,21.147,0.1395702,0,,1,0,,0,19,44,3,0,0,0,0.01120791,
2012,3,S1,C,6,BI,CBI6A,tanglefoot,178,21.147,0.3764166,2,,0,0,,0,116,61,1,0,0,0,0.01353408,
2012,3,S1,C,6,BI,CBI6B,control,107,21.147,0.2262729,2,,1,0,,0,34,59,12,0,2,0,0.02410758,
