Obs,Dorm,Time,Source.Species,vetch.num,Weevil,weevil.num,Ladybird,ladybird.num,Column,Occupancy,Total.Aphids,Avg.Aphids,PEMV,PEMV.num,End.Aphids,End.Source.Aphids,log.End.Aphids,Total.Nymphs,Avg.Distance.All
55,28,1,Vetch,1,Absent,0,Present,1,A,3,12,1.714285714,Absent,0,3,0,0.60206,2,1
56,28,1,Vetch,1,Absent,0,Present,1,B,0,0,0,Absent,0,0,0,0,0,1
57,29,1,Pea,0,Absent,0,Absent,0,A,14,248,35.42857143,Present,1,86,52,1.939519,66,1.75
58,29,1,Pea,0,Absent,0,Absent,0,B,13,229,32.71428571,Present,1,92,52,1.968483,68,3.752380952
59,30,1,Pea,0,Absent,0,Absent,0,A,7,276,39.42857143,Present,1,69,46,1.845098,59,2.142857143
60,30,1,Pea,0,Absent,0,Absent,0,B,2,0,0,Present,1,18,46,1.278754,11,4.917808219
61,31,1,Pea,0,Absent,0,Absent,0,A,8,122,17.42857143,Absent,0,40,85,1.612784,20,1.666666667
62,31,1,Pea,0,Absent,0,Absent,0,B,3,22,3.142857143,Absent,0,7,85,0.90309,5,4.835051546
63,32,1,Pea,0,Absent,0,Absent,0,A,5,83,11.85714286,Absent,0,54,93,1.740363,44,1.5
64,32,1,Pea,0,Absent,0,Absent,0,B,5,71,10.14285714,Present,1,39,93,1.60206,30,4.905172414
65,33,2,Pea,0,Present,1,Present,1,A,9,113,16.14285714,Absent,0,33,54,1.531479,30,3.363636364
66,33,2,Pea,0,Present,1,Present,1,B,10,54,7.714285714,Present,1,18,54,1.278754,14,4.547945205
67,34,2,Pea,0,Absent,0,Present,1,A,7,63,9,Present,1,25,1,1.414973,21,1.6
68,34,2,Pea,0,Absent,0,Present,1,B,3,37,5.285714286,Absent,0,7,1,0.90309,7,4.380952381
69,35,2,Pea,0,Present,1,Absent,0,A,13,205,29.28571429,Present,1,100,79,2.004321,90,1.692307692
70,35,2,Pea,0,Present,1,Absent,0,B,9,90,12.85714286,Absent,0,28,79,1.462398,23,4.407079646
71,36,2,Pea,0,Absent,0,Absent,0,A,5,123,17.57142857,Present,1,52,90,1.724276,44,1.583333333
72,36,2,Pea,0,Absent,0,Absent,0,B,15,195,27.85714286,Present,1,58,90,1.770852,48,4.38372093
73,37,2,Pea,0,Present,1,Present,1,A,5,38,5.428571429,Present,1,15,38,1.20412,11,1.8
74,37,2,Pea,0,Present,1,Present,1,B,6,94,13.42857143,Present,1,26,38,1.431364,23,4.659574468
75,38,2,Pea,0,Absent,0,Present,1,A,4,22,3.142857143,Absent,0,7,47,0.90309,6,1.058823529
76,38,2,Pea,0,Absent,0,Present,1,B,5,70,10,Absent,0,26,47,1.431364,18,4.818181818
77,39,2,Pea,0,Present,1,Absent,0,A,5,27,3.857142857,Present,1,8,117,0.954243,8,5
78,39,2,Pea,0,Present,1,Absent,0,B,1,24,3.428571429,Absent,0,8,117,0.954243,8,4.87037037
79,40,2,Pea,0,Absent,0,Absent,0,A,13,175,25,Absent,0,63,100,1.80618,55,2.931034483
80,40,2,Pea,0,Absent,0,Absent,0,B,18,269,38.42857143,Present,1,59,100,1.778151,53,4.505494505
81,41,2,Pea,0,Present,1,Present,1,A,12,164,23.42857143,Present,1,61,53,1.792392,55,2.363636364
82,41,2,Pea,0,Present,1,Present,1,B,20,272,38.85714286,Present,1,104,53,2.021189,88,4.196721311
83,42,2,Pea,0,Absent,0,Present,1,A,4,55,7.857142857,Absent,0,3,3,0.60206,3,3.714285714
84,42,2,Pea,0,Absent,0,Present,1,B,6,84,12,Present,1,14,3,1.176091,13,3.833333333
85,43,2,Pea,0,Present,1,Absent,0,A,15,170,24.28571429,Present,1,65,63,1.819544,53,3.619047619
86,43,2,Pea,0,Present,1,Absent,0,B,8,120,17.14285714,Present,1,54,63,1.740363,49,4.333333333
87,44,2,Pea,0,Absent,0,Absent,0,A,11,116,16.57142857,Absent,0,37,207,1.579784,33,2.6
88,44,2,Pea,0,Absent,0,Absent,0,B,5,20,2.857142857,Absent,0,12,207,1.113943,10,4.862385321
89,45,2,Pea,0,Present,1,Present,1,A,7,43,6.142857143,Present,1,6,7,0.845098,3,1
90,45,2,Pea,0,Present,1,Present,1,B,2,13,1.857142857,Absent,0,0,7,0,0,4.692307692
91,46,2,Pea,0,Absent,0,Present,1,A,8,107,15.28571429,Absent,0,36,11,1.568202,31,1.823529412
92,46,2,Pea,0,Absent,0,Present,1,B,11,71,10.14285714,Absent,0,36,11,1.568202,29,3.717948718
93,47,2,Pea,0,Present,1,Absent,0,A,5,34,4.857142857,Present,1,26,140,1.431364,19,2.142857143
94,47,2,Pea,0,Present,1,Absent,0,B,7,86,12.28571429,Absent,0,51,140,1.716003,41,4.608108108
95,48,2,Pea,0,Absent,0,Absent,0,A,5,141,20.14285714,Present,1,86,256,1.939519,73,1.666666667
96,48,2,Pea,0,Absent,0,Absent,0,B,4,85,12.14285714,Absent,0,47,256,1.681241,41,4.614457831
97,49,2,Vetch,1,Present,1,Present,1,A,20,426,60.85714286,Present,1,153,5,2.187521,141,1.68
98,49,2,Vetch,1,Present,1,Present,1,B,11,226,32.28571429,Present,1,137,5,2.139879,129,3.415384615
99,50,2,Vetch,1,Absent,0,Present,1,A,18,333,47.57142857,Present,1,110,36,2.045323,107,2.19047619
100,50,2,Vetch,1,Absent,0,Present,1,B,13,179,25.57142857,Absent,0,82,36,1.919078,75,2.780487805
101,51,2,Vetch,1,Present,1,Absent,0,A,10,303,43.28571429,Absent,0,146,9,2.167317,139,1.75
102,51,2,Vetch,1,Present,1,Absent,0,B,11,239,34.14285714,Present,1,83,9,1.924279,81,4.363636364
103,52,2,Vetch,1,Absent,0,Absent,0,A,20,771,110.1428571,Present,1,249,50,2.39794,239,1.431034483
104,52,2,Vetch,1,Absent,0,Absent,0,B,18,708,101.1428571,Present,1,175,50,2.245513,164,2.858974359
105,53,2,Vetch,1,Present,1,Present,1,A,18,468,66.85714286,Present,1,176,42,2.247973,162,2.921875
106,53,2,Vetch,1,Present,1,Present,1,B,17,204,29.14285714,Absent,0,59,42,1.778151,43,3.018691589
107,54,2,Vetch,1,Absent,0,Present,1,A,3,28,4,Absent,0,0,0,0,0,3.533333333
108,54,2,Vetch,1,Absent,0,Present,1,B,11,88,12.57142857,Absent,0,17,0,1.255273,11,2.733333333
109,55,2,Vetch,1,Present,1,Absent,0,A,9,102,14.57142857,Present,1,48,13,1.690196,42,1.235294118
110,55,2,Vetch,1,Present,1,Absent,0,B,7,246,35.14285714,Absent,0,119,13,2.079181,99,3.957446809
111,56,2,Vetch,1,Absent,0,Absent,0,A,19,633,90.42857143,Present,1,139,18,2.146128,87,1.452380952
112,56,2,Vetch,1,Absent,0,Absent,0,B,16,441,63,Present,1,141,18,2.152288,85,3.106382979
113,57,2,Vetch,1,Present,1,Present,1,A,11,200,28.57142857,Absent,0,94,21,1.977724,58,1.514705882
114,57,2,Vetch,1,Present,1,Present,1,B,14,310,44.28571429,Absent,0,103,21,2.017033,64,2.869565217
115,58,2,Vetch,1,Absent,0,Present,1,A,17,289,41.28571429,Absent,0,102,5,2.012837,62,2.457142857
116,58,2,Vetch,1,Absent,0,Present,1,B,22,370,52.85714286,Absent,0,94,5,1.977724,62,2.289156627
117,59,2,Vetch,1,Present,1,Absent,0,A,13,180,25.71428571,Present,1,77,13,1.892095,61,1.295238095
118,59,2,Vetch,1,Present,1,Absent,0,B,13,384,54.85714286,Absent,0,96,13,1.986772,34,3
119,60,2,Vetch,1,Absent,0,Absent,0,A,18,671,95.85714286,Absent,0,126,30,2.103804,79,1.65060241
120,60,2,Vetch,1,Absent,0,Absent,0,B,13,277,39.57142857,Present,1,130,30,2.117271,65,2.354609929
121,61,2,Vetch,1,Present,1,Present,1,A,17,145,20.71428571,Present,1,29,1,1.477121,19,1.571428571
122,61,2,Vetch,1,Present,1,Present,1,B,8,85,12.14285714,Present,1,31,1,1.50515,19,3.487179487
123,62,2,Vetch,1,Absent,0,Present,1,A,18,220,31.42857143,Absent,0,54,7,1.740363,31,1.928571429
124,62,2,Vetch,1,Absent,0,Present,1,B,15,153,21.85714286,Present,1,41,7,1.623249,22,2.5
125,63,2,Vetch,1,Present,1,Absent,0,A,26,468,66.85714286,Present,1,148,21,2.173186,172,2.440860215
126,63,2,Vetch,1,Present,1,Absent,0,B,18,323,46.14285714,Present,1,113,21,2.056905,43,3
127,64,2,Vetch,1,Absent,0,Absent,0,A,14,269,38.42857143,Absent,0,72,95,1.863323,48,1.375
128,64,2,Vetch,1,Absent,0,Absent,0,B,7,74,10.57142857,Absent,0,20,95,1.322219,15,4.397959184
