Replicate,Duration,Date,Dorm,Column,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,Plant Number,Total Aphids,Total Adults,Total Nymphs,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
1,1,8.2.2017,29,A,,Pea,Absent,Absent,No,S,60,11,49,10,47,57,1,2,3,0,0,0,
1,1,8.2.2017,29,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,30,A,,Pea,Absent,Absent,No,S,88,16,72,14,66,80,1,2,3,1,4,5,
1,1,8.2.2017,30,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,31,A,,Pea,Absent,Absent,No,S,38,9,29,4,23,27,3,1,4,2,5,7,
1,1,8.2.2017,31,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,32,A,,Pea,Absent,Absent,No,S,55,11,44,2,4,6,4,10,14,5,30,35,
1,1,8.2.2017,32,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,1,8.2.2017,1,A,,Vetch,Present,Absent,Yes,1,7,2,5,1,0,1,1,4,5,0,1,1,No
1,1,8.2.2017,1,B,,Vetch,Present,Absent,Yes,1,1,1,0,0,0,0,1,0,1,0,0,0,No
1,1,8.2.2017,2,A,,Vetch,Present,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,2,B,,Vetch,Present,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,3,A,,Vetch,Present,Absent,Yes,1,9,3,6,1,1,2,2,5,7,0,0,0,No
1,1,8.2.2017,3,B,,Vetch,Present,Absent,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,4,A,,Vetch,Present,Absent,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,4,B,,Vetch,Present,Absent,Yes,1,4,2,2,0,0,0,1,1,2,1,1,2,No
1,1,8.2.2017,5,A,,Pea,Present,Present,Yes,1,6,2,4,2,4,6,0,0,0,0,0,0,Yes
1,1,8.2.2017,5,B,,Pea,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,6,A,,Pea,Present,Present,Yes,1,2,1,1,0,0,0,0,0,0,1,1,2,No
1,1,8.2.2017,6,B,,Pea,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,7,A,,Pea,Present,Absent,No,1,1,1,0,0,0,0,1,0,1,0,0,0,No
1,1,8.2.2017,7,B,,Pea,Present,Absent,No,1,3,1,2,0,0,0,1,1,2,0,1,1,No
1,1,8.2.2017,8,A,,Pea,Present,Present,Yes,1,2,1,2,0,0,0,1,1,2,0,1,1,No
1,1,8.2.2017,8,B,,Pea,Present,Present,Yes,1,3,1,2,0,0,0,1,2,3,0,0,0,No
1,1,8.2.2017,9,A,,Pea,Present,Absent,No,1,5,0,5,0,0,0,0,0,0,0,5,5,No
1,1,8.2.2017,9,B,,Pea,Present,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,10,A,,Pea,Present,Absent,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,10,B,,Pea,Present,Absent,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,11,A,,Pea,Present,Absent,No,1,1,0,1,0,1,1,0,0,0,0,0,0,Yes
1,1,8.2.2017,11,B,,Pea,Present,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,12,A,,Pea,Absent,Absent,No,1,3,1,2,1,2,3,0,0,0,0,0,0,No
1,1,8.2.2017,12,B,,Pea,Absent,Absent,No,1,17,4,13,4,13,17,0,0,0,0,0,0,No
1,1,8.2.2017,13,A,,Pea,Absent,Present,No,1,2,2,0,0,0,0,0,0,0,2,0,2,No
1,1,8.2.2017,13,B,,Pea,Absent,Present,No,1,8,4,4,0,0,0,1,0,1,3,4,7,No
1,1,8.2.2017,14,A,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,14,B,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,15,A,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,15,B,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,16,A,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,16,B,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,17,A,,Vetch,Present,Present,Yes,1,19,3,16,3,15,18,0,0,0,0,1,1,Yes
1,1,8.2.2017,17,B,,Vetch,Present,Present,Yes,1,3,2,1,1,1,2,0,0,0,1,0,1,No
1,1,8.2.2017,18,A,,Vetch,Present,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,1,8.2.2017,18,B,,Vetch,Present,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,19,A,,Vetch,Present,Present,Yes,1,5,1,3,1,3,4,0,0,0,0,0,0,No
1,1,8.2.2017,19,B,,Vetch,Present,Present,Yes,1,1,1,0,0,0,0,1,0,1,0,0,0,No
1,1,8.2.2017,20,A,,Vetch,Present,Present,Yes,1,7,2,5,0,0,0,2,5,7,0,0,0,No
1,1,8.2.2017,20,B,,Vetch,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,21,A,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,21,B,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,22,A,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,22,B,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,23,A,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,23,B,,Vetch,Absent,Absent,No,1,1,0,1,0,0,0,0,1,1,0,0,0,No
1,1,8.2.2017,24,A,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,24,B,,Vetch,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,25,A,,Vetch,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,25,B,,Vetch,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,26,A,,Vetch,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,26,B,,Vetch,Absent,Present,No,1,2,1,1,0,0,0,0,0,0,1,1,2,No
1,1,8.2.2017,27,A,,Vetch,Absent,Present,No,1,3,1,2,0,0,0,0,1,1,1,1,2,No
1,1,8.2.2017,27,B,,Vetch,Absent,Present,No,1,4,3,1,0,0,0,0,0,0,3,1,4,No
1,1,8.2.2017,28,A,,Vetch,Absent,Present,No,1,4,1,3,0,0,0,1,3,4,0,0,0,No
1,1,8.2.2017,28,B,,Vetch,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,29,A,,Pea,Absent,Absent,No,1,3,1,2,0,0,0,0,0,0,1,2,3,No
1,1,8.2.2017,29,B,,Pea,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,30,A,,Pea,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,30,B,,Pea,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,1,8.2.2017,31,A,,Pea,Absent,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
