Replicate,Duration,Date,Dorm,Column,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,Plant Number,Total Aphids,Total Adults,Total Nymphs,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
1,4,8.5.2017,1,B,,Vetch,Present,Absent,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,2,A,,Vetch,Present,Absent,No,4,6,2,4,1,1,2,0,0,0,1,3,4,No
1,4,8.5.2017,2,B,,Vetch,Present,Absent,No,4,2,1,1,1,1,2,0,0,0,0,0,0,No
1,4,8.5.2017,3,A,,Vetch,Present,Absent,Yes,4,1,0,1,0,0,0,0,0,0,0,1,1,No
1,4,8.5.2017,3,B,,Vetch,Present,Absent,Yes,4,8,1,7,0,0,0,1,5,6,0,2,2,No
1,4,8.5.2017,4,A,,Vetch,Present,Absent,Yes,4,19,2,17,0,0,0,1,11,12,1,6,7,No
1,4,8.5.2017,4,B,,Vetch,Present,Absent,Yes,4,13,1,12,0,0,0,1,12,13,0,0,0,No
1,4,8.5.2017,5,A,,Pea,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,5,B,,Pea,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,6,A,,Pea,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,6,B,,Pea,Present,Present,Yes,4,1,0,1,0,0,0,0,1,1,0,0,0,No
1,4,8.5.2017,7,A,,Pea,Present,Absent,No,4,4,1,3,0,0,0,0,0,0,1,3,4,Yes
1,4,8.5.2017,7,B,,Pea,Present,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,8,A,,Pea,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,8,B,,Pea,Present,Present,Yes,4,3,1,2,0,0,0,0,2,2,1,0,1,No
1,4,8.5.2017,9,A,,Pea,Present,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,9,B,,Pea,Present,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,10,A,,Pea,Present,Absent,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,10,B,,Pea,Present,Absent,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,11,A,,Pea,Present,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,11,B,,Pea,Present,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,12,A,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,12,B,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,13,A,,Pea,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,13,B,,Pea,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,14,A,,Pea,Absent,Present,No,4,8,1,7,1,7,8,0,0,0,0,0,0,No
1,4,8.5.2017,14,B,,Pea,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,15,A,,Pea,Absent,Present,No,4,2,0,2,0,0,0,0,0,0,0,2,2,No
1,4,8.5.2017,15,B,,Pea,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,16,A,,Pea,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,16,B,,Pea,Absent,Present,No,4,10,1,9,0,0,0,1,9,10,0,0,0,No
1,4,8.5.2017,17,A,,Vetch,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,17,B,,Vetch,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,18,A,,Vetch,Present,Present,No,4,9,0,9,0,9,9,0,0,0,0,0,0,No
1,4,8.5.2017,18,B,,Vetch,Present,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,19,A,,Vetch,Present,Present,Yes,4,1,0,1,0,0,0,0,0,0,0,1,1,No
1,4,8.5.2017,19,B,,Vetch,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,20,A,,Vetch,Present,Present,Yes,4,1,0,1,0,0,0,0,0,0,0,1,1,No
1,4,8.5.2017,20,B,,Vetch,Present,Present,Yes,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,21,A,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,21,B,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,22,A,,Vetch,Absent,Absent,No,4,0,0,1,0,0,0,0,0,0,0,1,1,No
1,4,8.5.2017,22,B,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,23,A,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,23,B,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,24,A,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,24,B,,Vetch,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,25,A,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,25,B,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,26,A,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,26,B,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,27,A,,Vetch,Absent,Present,No,4,7,1,6,0,0,0,0,0,0,1,6,7,No
1,4,8.5.2017,27,B,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,28,A,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,28,B,,Vetch,Absent,Present,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,29,A,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,29,B,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,30,A,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,30,B,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,31,A,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,31,B,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,32,A,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,32,B,,Pea,Absent,Absent,No,4,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,1,A,,Vetch,Present,Absent,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,1,B,,Vetch,Present,Absent,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,2,A,,Vetch,Present,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,2,B,,Vetch,Present,Absent,No,5,13,3,12,1,8,9,0,1,1,2,3,5,No
1,4,8.5.2017,3,A,,Vetch,Present,Absent,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,3,B,,Vetch,Present,Absent,Yes,5,3,1,2,0,0,0,0,0,0,1,2,3,No
1,4,8.5.2017,4,A,,Vetch,Present,Absent,Yes,5,9,2,7,0,1,1,2,6,8,0,0,0,Yes
1,4,8.5.2017,4,B,,Vetch,Present,Absent,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,5,A,,Pea,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,5,B,,Pea,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,6,A,,Pea,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,6,B,,Pea,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,7,A,,Pea,Present,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,7,B,,Pea,Present,Absent,No,5,15,1,14,0,2,2,1,12,13,0,0,0,No
1,4,8.5.2017,8,A,,Pea,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,8,B,,Pea,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,9,A,,Pea,Present,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,9,B,,Pea,Present,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,4,8.5.2017,10,A,,Pea,Present,Absent,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,10,B,,Pea,Present,Absent,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,11,A,,Pea,Present,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,11,B,,Pea,Present,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,12,A,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,12,B,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,13,A,,Pea,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,13,B,,Pea,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,14,A,,Pea,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,14,B,,Pea,Absent,Present,No,5,1,0,1,0,0,0,0,1,1,0,0,0,No
1,4,8.5.2017,15,A,,Pea,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,15,B,,Pea,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,16,A,,Pea,Absent,Present,No,5,1,0,1,0,0,0,0,0,0,0,1,1,No
1,4,8.5.2017,16,B,,Pea,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,17,A,,Vetch,Present,Present,Yes,5,1,0,1,0,0,0,0,0,0,0,1,1,No
1,4,8.5.2017,17,B,,Vetch,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,18,A,,Vetch,Present,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,18,B,,Vetch,Present,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,19,A,,Vetch,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,19,B,,Vetch,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,20,A,,Vetch,Present,Present,Yes,5,8,0,8,0,0,0,0,0,0,0,8,8,No
1,4,8.5.2017,20,B,,Vetch,Present,Present,Yes,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,21,A,,Vetch,Absent,Absent,No,5,9,2,7,1,4,5,1,3,4,0,0,0,No
1,4,8.5.2017,21,B,,Vetch,Absent,Absent,No,5,5,0,5,0,0,0,0,5,5,0,0,0,No
1,4,8.5.2017,22,A,,Vetch,Absent,Absent,No,5,5,1,4,1,4,5,0,0,0,0,0,0,No
1,4,8.5.2017,22,B,,Vetch,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,23,A,,Vetch,Absent,Absent,No,5,1,0,1,0,0,0,0,1,1,0,0,0,No
1,4,8.5.2017,23,B,,Vetch,Absent,Absent,No,5,3,1,2,0,0,0,1,2,3,0,0,0,No
1,4,8.5.2017,24,A,,Vetch,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,24,B,,Vetch,Absent,Absent,No,5,1,0,1,0,1,1,0,0,0,0,0,0,No
1,4,8.5.2017,25,A,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,25,B,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,26,A,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,26,B,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,27,A,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,27,B,,Vetch,Absent,Present,No,5,2,1,1,1,0,1,0,0,0,0,1,1,No
1,4,8.5.2017,28,A,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,28,B,,Vetch,Absent,Present,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,29,A,,Pea,Absent,Absent,No,5,5,1,4,0,0,0,0,0,0,1,4,5,No
1,4,8.5.2017,29,B,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,30,A,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,30,B,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,31,A,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,31,B,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,32,A,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,4,8.5.2017,32,B,,Pea,Absent,Absent,No,5,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,1,A,,Vetch,Present,Absent,Yes,S,,5,24,3,18,21,2,3,5,0,3,3,
1,5,8.6.2017,1,B,,Vetch,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,2,A,,Vetch,Present,Absent,No,S,,14,26,7,18,25,4,4,8,3,4,7,
1,5,8.6.2017,2,B,,Vetch,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,3,A,,Vetch,Present,Absent,Yes,S,,4,48,2,10,12,0,21,21,2,17,19,
1,5,8.6.2017,3,B,,Vetch,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,4,A,,Vetch,Present,Absent,Yes,S,,0,29,0,4,4,0,11,11,0,14,14,
1,5,8.6.2017,4,B,,Vetch,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,5,A,,Pea,Present,Present,Yes,S,,1,4,0,0,0,1,4,5,0,0,0,
1,5,8.6.2017,5,B,,Pea,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,6,A,,Pea,Present,Present,Yes,S,,6,77,1,20,21,4,55,59,1,2,3,
1,5,8.6.2017,6,B,,Pea,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,7,A,,Pea,Present,Absent,No,S,,2,1,2,0,2,0,1,1,0,0,0,
1,5,8.6.2017,7,B,,Pea,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,8,A,,Pea,Present,Present,Yes,S,,3,0,3,0,3,0,0,0,0,0,0,
1,5,8.6.2017,8,B,,Pea,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,9,A,,Pea,Present,Absent,No,S,,19,94,6,33,39,7,21,28,6,40,46,
1,5,8.6.2017,9,B,,Pea,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,10,A,,Pea,Present,Absent,Yes,S,,24,74,8,38,46,13,18,31,3,18,21,
1,5,8.6.2017,10,B,,Pea,Present,Absent,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,11,A,,Pea,Present,Absent,No,S,,19,90,8,35,43,10,38,48,1,17,18,
1,5,8.6.2017,11,B,,Pea,Present,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,12,A,,Pea,Absent,Absent,No,S,,19,106,12,60,72,5,27,32,2,19,21,
1,5,8.6.2017,12,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,13,A,,Pea,Absent,Present,No,S,,0,1,0,1,1,0,0,0,0,0,0,
1,5,8.6.2017,13,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,14,A,,Pea,Absent,Present,No,S,,3,6,0,0,0,3,6,9,0,0,0,
1,5,8.6.2017,14,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,15,A,,Pea,Absent,Present,No,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,15,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,16,A,,Pea,Absent,Present,No,S,,2,17,1,15,16,0,0,0,1,2,3,
1,5,8.6.2017,16,B,,Pea,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,17,A,,Vetch,Present,Present,Yes,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,17,B,,Vetch,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,18,A,,Vetch,Present,Present,No,S,,0,1,0,0,0,0,0,0,0,1,1,
1,5,8.6.2017,18,B,,Vetch,Present,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,19,A,,Vetch,Present,Present,Yes,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,19,B,,Vetch,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,20,A,,Vetch,Present,Present,Yes,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,20,B,,Vetch,Present,Present,Yes,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,21,A,,Vetch,Absent,Absent,No,S,,1,65,1,34,35,0,31,31,0,0,0,
1,5,8.6.2017,21,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,22,A,,Vetch,Absent,Absent,No,S,,10,78,6,58,64,3,15,18,1,5,6,
1,5,8.6.2017,22,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,23,A,,Vetch,Absent,Absent,No,S,,4,48,1,18,19,0,0,0,3,30,33,
1,5,8.6.2017,23,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,24,A,,Vetch,Absent,Absent,No,S,,10,49,4,11,15,0,0,0,6,38,44,
1,5,8.6.2017,24,B,,Vetch,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,25,A,,Vetch,Absent,Present,No,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,25,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,26,A,,Vetch,Absent,Present,No,S,,4,46,3,31,34,1,15,16,0,0,0,
1,5,8.6.2017,26,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,27,A,,Vetch,Absent,Present,No,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,27,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,28,A,,Vetch,Absent,Present,No,S,,0,0,0,0,0,0,0,0,0,0,0,
1,5,8.6.2017,28,B,,Vetch,Absent,Present,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,29,A,,Pea,Absent,Absent,No,S,,5,87,0,0,0,4,65,69,1,22,23,
1,5,8.6.2017,29,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,30,A,,Pea,Absent,Absent,No,S,,6,69,2,34,36,4,23,27,0,12,12,
1,5,8.6.2017,30,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,31,A,,Pea,Absent,Absent,No,S,,10,74,5,33,38,0,20,20,5,21,26,
1,5,8.6.2017,31,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,32,A,,Pea,Absent,Absent,No,S,,15,119,10,53,63,3,30,33,2,36,38,
1,5,8.6.2017,32,B,,Pea,Absent,Absent,No,S,,0,0,,,0,,,0,,,0,
1,5,8.6.2017,1,A,,Vetch,Present,Absent,Yes,1,102,44,58,5,12,17,30,26,56,9,20,29,No
1,5,8.6.2017,1,B,,Vetch,Present,Absent,Yes,1,47,14,33,2,6,8,7,10,17,5,17,22,No
1,5,8.6.2017,2,A,,Vetch,Present,Absent,No,1,65,15,20,2,3,5,3,2,5,10,15,25,No
1,5,8.6.2017,2,B,,Vetch,Present,Absent,No,1,3,1,2,0,2,2,0,0,0,1,0,1,No
1,5,8.6.2017,3,A,,Vetch,Present,Absent,Yes,1,49,2,47,0,0,0,2,30,32,0,17,17,No
1,5,8.6.2017,3,B,,Vetch,Present,Absent,Yes,1,4,1,3,0,0,0,1,3,4,0,0,0,No
1,5,8.6.2017,4,A,,Vetch,Present,Absent,Yes,1,3,1,2,1,0,1,0,1,1,0,1,1,No
1,5,8.6.2017,4,B,,Vetch,Present,Absent,Yes,1,44,3,41,0,1,1,0,15,15,3,25,28,No
1,5,8.6.2017,5,A,,Pea,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,5,B,,Pea,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,6,A,,Pea,Present,Present,Yes,1,2,0,2,0,0,0,0,2,2,0,0,0,No
1,5,8.6.2017,6,B,,Pea,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,7,A,,Pea,Present,Absent,No,1,4,4,0,0,0,0,4,0,4,0,0,0,No
1,5,8.6.2017,7,B,,Pea,Present,Absent,No,1,8,1,7,0,0,0,0,0,0,1,7,8,No
1,5,8.6.2017,8,A,,Pea,Present,Present,Yes,1,2,1,1,1,1,2,0,0,0,0,0,0,No
1,5,8.6.2017,8,B,,Pea,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,9,A,,Pea,Present,Absent,No,1,30,2,28,0,0,0,0,2,2,2,26,28,No
1,5,8.6.2017,9,B,,Pea,Present,Absent,No,1,1,0,1,0,0,0,0,1,1,0,0,0,No
1,5,8.6.2017,10,A,,Pea,Present,Absent,Yes,1,7,2,5,0,0,0,2,5,7,0,0,0,No
1,5,8.6.2017,10,B,,Pea,Present,Absent,Yes,1,6,3,3,0,1,1,2,2,4,1,0,1,No
1,5,8.6.2017,11,A,,Pea,Present,Absent,No,1,7,5,2,3,1,4,1,1,2,1,0,1,No
1,5,8.6.2017,11,B,,Pea,Present,Absent,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,12,A,,Pea,Absent,Absent,No,1,1,1,0,1,0,1,0,0,0,0,0,0,No
1,5,8.6.2017,12,B,,Pea,Absent,Absent,No,1,14,6,8,6,8,14,0,0,0,0,0,0,No
1,5,8.6.2017,13,A,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,13,B,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,14,A,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,14,B,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,15,A,,Pea,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,15,B,,Pea,Absent,Present,No,1,1,0,1,0,0,0,0,0,0,0,1,1,No
1,5,8.6.2017,16,A,,Pea,Absent,Present,No,1,15,4,11,2,8,10,1,3,4,1,0,1,No
1,5,8.6.2017,16,B,,Pea,Absent,Present,No,1,15,3,12,0,0,0,3,12,15,0,0,0,No
1,5,8.6.2017,17,A,,Vetch,Present,Present,Yes,1,1,1,0,0,0,0,0,0,0,1,0,1,Yes
1,5,8.6.2017,17,B,,Vetch,Present,Present,Yes,1,4,1,3,0,0,0,0,1,1,1,2,3,Yes
1,5,8.6.2017,18,A,,Vetch,Present,Present,No,1,7,3,4,0,0,0,0,0,0,3,4,7,Yes
1,5,8.6.2017,18,B,,Vetch,Present,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,19,A,,Vetch,Present,Present,Yes,1,43,3,40,0,2,2,3,32,35,0,6,6,No
1,5,8.6.2017,19,B,,Vetch,Present,Present,Yes,1,19,2,17,1,0,1,1,15,16,0,2,2,Yes
1,5,8.6.2017,20,A,,Vetch,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
1,5,8.6.2017,20,B,,Vetch,Present,Present,Yes,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,21,A,,Vetch,Absent,Absent,No,1,19,3,16,0,0,0,1,4,5,2,12,14,No
1,5,8.6.2017,21,B,,Vetch,Absent,Absent,No,1,7,2,5,0,0,0,2,5,7,0,0,0,No
1,5,8.6.2017,22,A,,Vetch,Absent,Absent,No,1,45,10,35,2,13,15,6,16,22,2,6,8,No
1,5,8.6.2017,22,B,,Vetch,Absent,Absent,No,1,56,11,45,4,0,4,7,45,52,0,0,0,No
1,5,8.6.2017,23,A,,Vetch,Absent,Absent,No,1,25,4,21,0,0,0,2,7,9,2,14,16,No
1,5,8.6.2017,23,B,,Vetch,Absent,Absent,No,1,89,10,79,1,3,4,9,76,85,0,0,0,No
1,5,8.6.2017,24,A,,Vetch,Absent,Absent,No,1,49,10,39,1,4,5,8,33,41,1,2,3,No
1,5,8.6.2017,24,B,,Vetch,Absent,Absent,No,1,23,5,18,0,0,0,5,18,23,0,0,0,No
1,5,8.6.2017,25,A,,Vetch,Absent,Present,No,1,2,2,0,0,0,0,1,0,1,1,0,1,No
1,5,8.6.2017,25,B,,Vetch,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,26,A,,Vetch,Absent,Present,No,1,0,0,0,0,0,0,0,0,0,0,0,0,No
1,5,8.6.2017,26,B,,Vetch,Absent,Present,No,1,3,1,2,0,0,0,1,2,3,0,0,0,No
